run_id,date,plan_id,branch,commit,tag,firmware_version,ha_config_version,analysis_version,workload,protocol,topology,interference,load_level,node_count,interval_ms,timestamp_source,run_path,status,notes,pipeline_version,is_baseline,comparison_group,run_type,replicate_id,baseline_ref,interval_nominal_ms,interval_jitter_ms,iperf_profile,ap_model,ap_firmware,ap_channel_mode,ap_channel,ap_width_mhz,ap_control_sideband,ap_rf_source
R606,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,moderate,1,3000±250,ESP32_RTT,experiments/runs/R606,complete,Wi-Fi moderate replicate,0.4.0,FALSE,W3_wifi_auto,load,rep1,R600,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R607,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,heavy,1,3000±250,ESP32_RTT,experiments/runs/R607,complete,Wi-Fi heavy replicate,0.4.0,FALSE,W3_wifi_auto,load,rep1,R600,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R608,25/04/2026,W3_B0,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,quiet,baseline,1,3000±250,ESP32_RTT,experiments/runs/R608,complete,Wi-Fi baseline replicate 2,0.4.0,TRUE,W3_wifi_auto,baseline,rep2,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R609,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,light,1,3000±250,ESP32_RTT,experiments/runs/R609,complete,Wi-Fi light replicate 2,0.4.0,FALSE,W3_wifi_auto,load,rep2,R600,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R610,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,moderate,1,3000±250,ESP32_RTT,experiments/runs/R610,complete,Wi-Fi moderate replicate 2,0.4.0,FALSE,W3_wifi_auto,load,rep2,R600,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R611,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,heavy,1,3000±250,ESP32_RTT,experiments/runs/R611,complete,Wi-Fi heavy replicate 2,0.4.0,FALSE,W3_wifi_auto,load,rep2,R600,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R612,25/04/2026,W3_B0,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,quiet,baseline,1,3000±250,ESP32_RTT,experiments/runs/R612,complete,Wi-Fi baseline replicate 3,0.4.0,TRUE,W3_wifi_auto,baseline,rep3,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R613,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,light,1,3000±250,ESP32_RTT,experiments/runs/R613,complete,Wi-Fi light replicate 3,0.4.0,FALSE,W3_wifi_auto,load,rep3,R600,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R614,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,moderate,1,3000±250,ESP32_RTT,experiments/runs/R614,complete,Wi-Fi moderate replicate 3,0.4.0,FALSE,W3_wifi_auto,load,rep3,R600,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R615,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,heavy,1,3000±250,ESP32_RTT,experiments/runs/R615,complete,Wi-Fi heavy replicate 3,0.4.0,FALSE,W3_wifi_auto,load,rep3,R600,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R616,25/04/2026,W3_B0,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,quiet,baseline,1,3000±250,ESP32_RTT,experiments/runs/R616,complete,Wi-Fi baseline replicate 4,0.4.0,TRUE,W3_wifi_auto,baseline,rep4,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R617,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,light,1,3000±250,ESP32_RTT,experiments/runs/R617,complete,Wi-Fi light replicate 4,0.4.0,FALSE,W3_wifi_auto,load,rep4,R600,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R618,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,moderate,1,3000±250,ESP32_RTT,experiments/runs/R618,complete,Wi-Fi moderate replicate 4,0.4.0,FALSE,W3_wifi_auto,load,rep4,R600,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R619,25/04/2026,W3_A,testbed-dev,db9c9e5,v0.4.0,0.4.0,0.3.0,0.4.0,W3,wifi,near,iperf,heavy,1,3000±250,ESP32_RTT,experiments/runs/R619,complete,Wi-Fi heavy replicate 4,0.4.0,FALSE,W3_wifi_auto,load,rep4,R600,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R620,30/04/2026,W3_B0,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,quiet,baseline,1,3000±250,ha_time + python_logger,experiments/runs/R620,complete,Zigbee baseline rerun after logger dedupe fix; 100/100 events; P95 11.2 ms; one command-to-HA state-change delay around 5.18 s,0.4.2,TRUE,W3_zigbee_auto,baseline,primary,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R621,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,light,1,3000±250,ha_time + python_logger,experiments/runs/R621,complete,Zigbee light Wi-Fi interference; 100/100 events; iperf mean 5.00 Mbps; P95 11.5 ms; no command-delay spikes,0.4.3,FALSE,W3_zigbee_auto,load,primary,R620,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R622,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,moderate,1,3000±250,ha_time + python_logger,experiments/runs/R622,complete,Zigbee moderate rerun; 100/100 events; iperf mean 20.01 Mbps; P95 10.2 ms; no command-delay spikes,0.4.4,FALSE,W3_zigbee_auto,load,primary,R620,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R623,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,heavy,1,3000±250,ha_time + python_logger,experiments/runs/R623,complete,Zigbee heavy Wi-Fi interference; 100/100 events; iperf mean 49.98 Mbps; P95 11.4 ms; one command-delay spike,0.4.3,FALSE,W3_zigbee_auto,load,primary,R620,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R624,30/04/2026,W3_B0,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,quiet,baseline,1,3000±250,ha_time + python_logger,experiments/runs/R624,complete,Zigbee baseline replicate 1; 100/100 events; P95 10.6 ms; no command-delay spikes,0.4.4,TRUE,W3_zigbee_auto,baseline,rep1,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R625,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,light,1,3000±250,ha_time + python_logger,experiments/runs/R625,complete,Zigbee light replicate 1; 100/100 events; iperf mean 5.00 Mbps; P95 9.6 ms; one command-delay spike,0.4.4,FALSE,W3_zigbee_auto,load,rep1,R620,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R626,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,moderate,1,3000±250,ha_time + python_logger,experiments/runs/R626,complete,Zigbee moderate replicate 1; 100/100 events; iperf mean 20.02 Mbps; P95 10.6 ms; no command-delay spikes,0.4.4,FALSE,W3_zigbee_auto,load,rep1,R620,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R627,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,heavy,1,3000±250,ha_time + python_logger,experiments/runs/R627,complete,Zigbee heavy replicate 1; 100/100 commands; 102 state events; iperf mean 49.94 Mbps; extra-event rate 2%,0.4.4,FALSE,W3_zigbee_auto,load,rep1,R620,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R628,30/04/2026,W3_B0,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,quiet,baseline,1,3000±250,ha_time + python_logger,experiments/runs/R628,complete,Zigbee baseline replicate 2; 100/100 events; P95 9.5 ms; no command-delay spikes,0.4.5,TRUE,W3_zigbee_auto,baseline,rep2,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R629,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,light,1,3000±250,ha_time + python_logger,experiments/runs/R629,complete,Zigbee light replicate 2; 100/100 events; iperf mean 5.00 Mbps; P95 10.9 ms; no command-delay spikes,0.4.5,FALSE,W3_zigbee_auto,load,rep2,R620,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R630,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,moderate,1,3000±250,ha_time + python_logger,experiments/runs/R630,complete,Zigbee moderate replicate 2; 100/100 events; iperf mean 20.02 Mbps; P95 9.8 ms; no command-delay spikes,0.4.5,FALSE,W3_zigbee_auto,load,rep2,R620,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R631,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,heavy,1,3000±250,ha_time + python_logger,experiments/runs/R631,complete,Zigbee heavy replicate 2; 100/100 events; iperf mean 49.96 Mbps; P95 10.6 ms; HA-to-logger max 416 ms and 3 command-delay spikes,0.4.5,FALSE,W3_zigbee_auto,load,rep2,R620,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R632,30/04/2026,W3_B0,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,quiet,baseline,1,3000±250,ha_time + python_logger,experiments/runs/R632,complete,Zigbee baseline replicate 3; 100/100 events; P95 8.2 ms; no command-delay spikes,0.4.5,TRUE,W3_zigbee_auto,baseline,rep3,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R633,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,light,1,3000±250,ha_time + python_logger,experiments/runs/R633,complete,Zigbee light replicate 3; 100/100 events; iperf mean 5.00 Mbps; P95 11.4 ms; max 32.5 ms,0.4.5,FALSE,W3_zigbee_auto,load,rep3,R620,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R634,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,moderate,1,3000±250,ha_time + python_logger,experiments/runs/R634,complete,Zigbee moderate replicate 3; 100/100 events; iperf mean 20.00 Mbps; P95 9.2 ms; no command-delay spikes,0.4.5,FALSE,W3_zigbee_auto,load,rep3,R620,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R635,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,heavy,1,3000±250,ha_time + python_logger,experiments/runs/R635,complete,Zigbee heavy replicate 3; 100/100 events; iperf mean 49.96 Mbps; P95 11.8 ms; one command-delay spike,0.4.5,FALSE,W3_zigbee_auto,load,rep3,R620,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R636,30/04/2026,W3_B0,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,quiet,baseline,1,3000±250,ha_time + python_logger,experiments/runs/R636,complete,Zigbee baseline replicate 4; 100/100 events; P95 11.1 ms; one command-delay spike,0.4.5,TRUE,W3_zigbee_auto,baseline,rep4,,3000,250,,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R637,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,light,1,3000±250,ha_time + python_logger,experiments/runs/R637,complete,Zigbee light replicate 4; 100/100 events; iperf mean 5.00 Mbps; P95 11.4 ms; no command-delay spikes,0.4.5,FALSE,W3_zigbee_auto,load,rep4,R620,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R638,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,moderate,1,3000±250,ha_time + python_logger,experiments/runs/R638,complete,Zigbee moderate replicate 4; 100/100 commands; 104 state events; iperf mean 20.00 Mbps; extra-event rate 4%,0.4.5,FALSE,W3_zigbee_auto,load,rep4,R620,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R639,30/04/2026,W3_A,testbed-dev,50f3526,v0.4.5,0.4.0,0.3.0,0.4.3,W3,zigbee,near,iperf,heavy,1,3000±250,ha_time + python_logger,experiments/runs/R639,complete,Zigbee heavy replicate 4; 100/100 commands; 102 state events; iperf mean 49.97 Mbps; extra-event rate 2%,0.4.5,FALSE,W3_zigbee_auto,load,rep4,R620,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,unknown,unknown,unknown,not_recorded
R640,01/05/2026,W3_B0,testbed-dev,76f662b,v0.4.5,0.4.1,0.3.0,0.4.4,W3,ble,near,quiet,baseline,1,3000±250,t_local_us + python_logger,experiments/runs/R640,complete,"BLE baseline jittered auto advertising; ESP32 emitted 100/100 advertisements; BLE logger captured 96/100; missing seq 13, 20, 71, 98; P95 215.0 ms; MAD 94.8 ms",0.4.6,TRUE,W3_ble_auto,baseline,primary,,3000,250,,netis WF2419,V2.2.36123,auto,1,40,upper,observed_ap_ui
R641,01/05/2026,W3_A,testbed-dev,76f662b,v0.4.5,0.4.1,0.3.0,0.4.4,W3,ble,near,iperf,light,1,3000±250,t_local_us + python_logger,experiments/runs/R641,complete,"BLE light Wi-Fi interference; ESP32 emitted 100/100 advertisements; BLE logger captured 98/100; missing seq 5, 37; iperf mean 5.00 Mbps; P95 148.0 ms; MAD 83.8 ms",0.4.6,FALSE,W3_ble_auto,load,primary,R640,3000,250,5Mbps_tcp,netis WF2419,V2.2.36123,auto,1,40,upper,observed_ap_ui
R642,01/05/2026,W3_A,testbed-dev,76f662b,v0.4.5,0.4.1,0.3.0,0.4.4,W3,ble,near,iperf,moderate,1,3000±250,t_local_us + python_logger,experiments/runs/R642,complete,"BLE moderate Wi-Fi interference; ESP32 emitted 100/100 advertisements; BLE logger captured 97/100; missing seq 12, 16, 85; iperf mean 20.00 Mbps; P95 108.6 ms; MAD 64.7 ms",0.4.6,FALSE,W3_ble_auto,load,primary,R640,3000,250,20Mbps_tcp,netis WF2419,V2.2.36123,auto,1,40,upper,observed_ap_ui
R643,01/05/2026,W3_A,testbed-dev,76f662b,v0.4.5,0.4.1,0.3.0,0.4.4,W3,ble,near,iperf,heavy,1,3000±250,t_local_us + python_logger,experiments/runs/R643,complete,BLE heavy Wi-Fi interference; ESP32 emitted 100/100 advertisements; BLE logger captured 99/100; missing seq 84; iperf mean 49.99 Mbps; P95 142.7 ms; MAD 89.3 ms,0.4.6,FALSE,W3_ble_auto,load,primary,R640,3000,250,50Mbps_tcp,netis WF2419,V2.2.36123,auto,1,40,upper,observed_ap_ui
